Fylke,Folketall,Tid,Areal
Østfold,256668,2004,4182
Akershus,488618,2004,4918
Oslo,521886,2004,454
Hedmark,188326,2004,27397
Oppland,183690,2004,25192
Buskerud,242331,2004,14910
Vestfold,219480,2004,2224
Telemark,166124,2004,15299
Aust-Agder,103374,2004,9157
Vest-Agder,160127,2004,7276
Rogaland,388848,2004,9378
Hordaland,445059,2004,15460
Sogn og Fjordane,107222,2004,18623
Møre og Romsdal,244570,2004,15121
Sør-Trøndelag,270266,2004,18848
Nord-Trøndelag,127973,2004,22412
Nordland,237057,2004,38456
Troms,152628,2004,25877
Finnmark,73210,2004,48618
Østfold,278352,2012,4182
Akershus,556254,2012,4918
Oslo,613285,2012,454
Hedmark,192791,2012,27398
Oppland,187147,2012,25192
Buskerud,265164,2012,14911
Vestfold,236424,2012,2224
Telemark,170023,2012,15298
Aust-Agder,111495,2012,9157
Vest-Agder,174324,2012,7277
Rogaland,443115,2012,9376
Hordaland,490570,2012,15440
Sogn og Fjordane,108201,2012,18623
Møre og Romsdal,256628,2012,15115
Sør-Trøndelag,297950,2012,18856
Nord-Trøndelag,133390,2012,22415
Nordland,238320,2012,38462
Troms,158650,2012,25870
Finnmark,73787,2012,48617
